Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Description
4006478550,VAD7274,VA,PAS,10/5/2016,5,4D,BMW,BUS LANE VIOLATION
4006462396,22834JK,NY,COM,9/30/2016,5,VAN,CHEVR,BUS LANE VIOLATION
4007117810,21791MG,NY,COM,4/10/2017,5,VAN,DODGE,BUS LANE VIOLATION
4006265037,FZX9232,NY,PAS,8/23/2016,5,SUBN,FORD,BUS LANE VIOLATION
4006535600,N203399C,NY,OMT,10/19/2016,5,SUBN,FORD,BUS LANE VIOLATION
4007156700,92163MG,NY,COM,4/13/2017,5,VAN,FRUEH,BUS LANE VIOLATION
4006687989,MIQ600,SC,PAS,11/21/2016,5,VN,HONDA,BUS LANE VIOLATION
4006943052,2AE3984,MD,PAS,2/1/2017,5,SW,LINCO,BUS LANE VIOLATION
4007306795,HLG4926,NY,PAS,5/30/2017,5,SUBN,TOYOT,BUS LANE VIOLATION
4007124590,T715907C,NY,OMT,4/3/2017,5,SUBN,TOYOT,BUS LANE VIOLATION
5096061966,HRC9475,NY,PAS,4/18/2017,7,SUBN,CADIL,FAILURE TO STOP AT RED LIGHT
5094070400,DYP8042,NY,PAS,10/26/2016,7,SUBN,CHEVR,FAILURE TO STOP AT RED LIGHT
5094906770,G30ESY,NJ,PAS,1/1/2017,7,WAGO,CHRYS,FAILURE TO STOP AT RED LIGHT
5093319363,GGT8868,NY,PAS,9/6/2016,7,SUBN,CHRYS,FAILURE TO STOP AT RED LIGHT
5092638849,107DDD,NY,SPO,7/20/2016,7,SUBN,DODGE,FAILURE TO STOP AT RED LIGHT
5093455337,ENQT55,FL,PAS,9/12/2016,7,VN,DODGE,FAILURE TO STOP AT RED LIGHT
5094961366,GSU4156,OH,PAS,1/7/2017,7,4S,DODGE,FAILURE TO STOP AT RED LIGHT
5092906534,V84FXV,NJ,PAS,8/7/2016,7,WAGO,FIR,FAILURE TO STOP AT RED LIGHT
5093620865,AD80228,AZ,PAS,9/24/2016,7,TK,FORD,FAILURE TO STOP AT RED LIGHT
5092733548,EVX4041,NY,PAS,7/26/2016,7,SUBN,FORD,FAILURE TO STOP AT RED LIGHT
5095995530,EMK5934,NY,PAS,4/13/2017,7,VAN,GMC,FAILURE TO STOP AT RED LIGHT
5092750364,DPH8955,NY,PAS,7/27/2016,7,SUBN,HONDA,FAILURE TO STOP AT RED LIGHT
5094658001,GCF1897,NY,PAS,12/10/2016,7,4DSD,HONDA,FAILURE TO STOP AT RED LIGHT
5092833786,HCS9434,NY,PAS,8/3/2016,7,SUBN,HONDA,FAILURE TO STOP AT RED LIGHT
5096484040,HHS1641,NY,PAS,5/17/2017,7,SUBN,HONDA,FAILURE TO STOP AT RED LIGHT
5095797586,KHE1889,PA,PAS,3/28/2017,7,SDN,HONDA,FAILURE TO STOP AT RED LIGHT
5095799807,VES2440,VA,PAS,3/29/2017,7,VAN,HONDA,FAILURE TO STOP AT RED LIGHT
5093533919,CYU4598,NY,PAS,9/16/2016,7,SUBN,HYUND,FAILURE TO STOP AT RED LIGHT
5093399735,DZGT24,FL,PAS,9/4/2016,7,UT,HYUND,FAILURE TO STOP AT RED LIGHT
5094058873,GRN3101,NY,PAS,10/29/2016,7,4DSD,HYUND,FAILURE TO STOP AT RED LIGHT
5094770986,T668962C,NY,OMT,12/19/2016,7,4DSD,HYUND,FAILURE TO STOP AT RED LIGHT
5093895611,GVZ1407,NY,PAS,10/14/2016,7,4DSD,JAGUA,FAILURE TO STOP AT RED LIGHT
5094185792,AGM9013,NY,PAS,11/4/2016,7,SUBN,JEEP,FAILURE TO STOP AT RED LIGHT
